@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.174,0.263,0.507,0.076,0.195,0.395,0.09,0.32,0.625,0.922,0.795,0.196,0.251,0.853,0.129
0.012,0.062,0.305,0.107,0.024,0.484,0.685,0.018,0.304,0.062,0.325,0.105,0.337,0.166,0.263
0.271,0.071,1.056,0.293,0.167,0.109,0.339,0.007,0.13,1.154,0.232,0.03,0.342,0.057,0.142
0.007,0.416,0.092,0.171,0.538,0.166,1.017,0.993,0.581,0.387,0.757,0.205,1.066,0.189,0.355
0.292,1.0,0.09,0.267,0.436,0.366,0.048,0.501,0.123,0.679,0.322,0.198,0.313,0.09,0.326
0.038,0.293,0.372,0.192,0.323,0.04,1.043,0.658,0.42,0.237,0.035,0.473,0.316,0.269,0.031
0.456,0.312,0.445,0.31,0.11,0.392,0.103,0.079,0.122,0.037,0.099,0.411,0.56,0.069,0.425
0.032,0.14,0.55,0.023,0.039,0.188,0.055,0.083,0.41,0.417,0.027,0.027,1.19,0.246,0.62
0.18,0.141,0.291,0.229,0.73,0.345,0.918,0.057,0.557,0.203,0.09,0.302,0.135,0.465,0.694
0.419,0.109,0.401,0.005,0.428,0.354,0.041,0.998,0.141,0.154,0.282,0.254,0.243,0.48,0.368
0.628,0.484,0.051,0.147,0.075,0.356,0.215,0.368,0.209,0.85,0.369,0.6,0.508,0.308,0.071
0.327,0.244,0.214,0.097,0.546,0.517,0.192,0.354,0.063,0.785,0.295,0.048,0.149,0.863,0.427
0.918,0.276,0.428,0.607,0.321,0.654,0.277,0.165,0.238,0.238,0.059,0.14,0.03,0.885,0.753
0.151,0.309,0.099,0.444,0.351,0.557,0.174,0.473,0.359,0.089,1.284,0.775,0.341,0.163,1.044
0.324,0.071,0.378,0.423,0.081,0.667,0.39,0.457,0.453,0.298,0.397,0.238,0.437,0.651,0.426
0.219,0.188,0.139,0.101,0.005,0.508,0.038,0.721,0.245,0.031,0.081,0.225,0.745,0.51,0.991
0.084,0.067,0.85,0.662,0.137,0.502,0.575,0.522,0.339,0.169,1.576,0.245,0.303,0.442,0.073
0.069,0.171,0.413,0.453,0.259,0.235,0.325,0.001,0.116,0.014,0.018,0.029,0.633,0.421,0.928
0.135,0.569,0.354,0.068,0.625,0.554,0.168,0.141,0.368,0.043,0.206,0.333,0.271,0.673,0.208
0.102,0.079,0.08,0.405,0.229,0.198,0.203,0.548,0.048,0.181,0.072,0.079,0.456,0.028,1.28
0.027,0.284,0.04,0.526,0.286,0.211,0.283,0.234,0.664,0.597,0.4,0.189,0.124,0.248,0.693
0.024,0.425,0.482,0.352,0.35,0.218,0.519,0.203,0.022,0.624,0.512,0.278,0.197,0.538,0.193
0.317,0.581,0.543,0.315,0.625,0.421,0.641,0.347,0.553,0.335,0.184,0.039,0.155,0.519,0.388
0.683,0.111,0.077,0.116,0.033,0.89,0.173,0.171,0.392,0.789,0.008,0.028,0.661,0.358,0.144
0.616,0.027,0.298,0.678,0.198,0.094,0.77,0.559,0.129,0.104,0.033,0.41,0.377,0.255,0.628
0.06,0.063,0.082,0.665,0.545,0.53,0.363,0.22,0.543,0.778,0.309,0.01,0.573,0.369,0.542
0.806,0.383,0.411,0.34,0.694,0.504,0.288,0.179,0.499,0.351,0.243,0.576,0.317,0.647,0.528
0.058,0.172,0.121,0.457,0.41,0.315,0.447,0.456,0.095,0.265,0.286,0.891,0.168,0.041,0.171
0.273,0.363,0.46,0.269,0.093,0.394,0.35,0.157,0.176,0.159,0.305,0.1,0.593,0.362,0.157
0.33,0.444,0.528,0.018,0.331,0.535,0.386,0.376,0.125,0.397,0.841,0.437,0.233,0.237,0.58
0.301,0.336,0.072,0.366,0.41,0.384,0.724,1.052,0.418,0.065,0.088,0.23,1.507,0.553,0.906
0.308,0.163,0.122,0.22,0.299,0.224,0.196,0.572,0.131,0.242,0.346,0.22,0.202,0.701,0.388
0.063,0.506,0.684,0.406,0.238,0.061,0.253,0.54,0.362,0.209,0.258,0.098,0.454,0.196,0.167
0.289,0.438,0.222,0.135,0.472,0.709,0.978,1.08,0.063,0.017,0.559,0.152,0.058,0.338,0.113
0.366,0.41,0.268,0.486,0.3,0.48,0.915,0.389,0.084,1.136,0.429,0.006,0.089,0.118,0.859
0.266,0.28,0.483,0.197,0.596,0.43,0.174,0.208,0.284,0.645,0.261,0.162,0.347,0.067,0.583
0.168,0.19,0.547,0.36,0.215,0.384,0.62,0.748,0.163,0.236,0.341,0.562,0.117,0.599,0.116
0.365,0.202,0.441,0.783,0.081,0.234,0.592,0.247,0.264,0.545,0.04,0.172,0.326,0.179,0.172
0.245,0.052,0.154,0.638,1.079,0.219,0.004,0.11,0.415,0.745,0.131,0.47,0.33,0.67,0.781
0.807,0.06,0.423,0.421,0.09,0.076,0.348,0.696,0.38,0.086,0.36,0.28,0.775,0.018,0.211
0.223,0.208,0.129,0.203,0.018,0.195,0.294,0.729,0.364,0.034,0.57,0.424,0.172,0.027,0.184
0.233,0.012,0.275,0.235,0.259,0.156,0.017,0.652,0.672,0.155,1.105,0.072,0.43,0.076,0.143
0.563,0.082,0.558,0.356,0.338,0.117,0.184,0.397,0.212,0.45,0.656,0.794,0.76,0.272,0.398
0.199,0.083,0.374,0.316,0.574,0.148,0.347,0.111,0.087,0.558,0.213,0.463,0.33,0.162,0.231
0.377,0.115,0.302,0.2,0.38,0.172,0.034,0.04,0.309,0.279,0.373,0.527,0.204,0.645,0.005
0.109,0.415,0.255,0.043,0.054,0.497,0.071,0.115,0.238,0.041,0.164,0.146,0.217,0.043,1.053
0.044,0.088,0.0,0.057,0.117,0.17,0.094,0.879,0.684,0.291,0.218,0.038,0.231,0.562,0.335
0.169,0.097,0.277,0.08,0.298,0.688,0.107,0.104,0.033,0.227,0.438,0.053,0.77,0.086,0.593
0.298,0.56,0.115,0.138,0.093,0.279,0.179,0.203,0.114,0.493,0.704,0.184,0.384,0.252,0.039
0.223,0.02,0.543,0.189,0.26,0.169,0.44,0.422,0.66,0.117,0.334,0.424,0.229,0.172,0.539
0.562,0.237,0.54,0.281,0.239,0.077,0.517,0.082,0.531,0.161,0.609,0.199,0.088,0.077,0.891
0.276,0.237,0.077,0.427,0.201,0.016,0.392,0.319,0.293,0.561,0.606,0.397,0.552,0.012,0.166
0.22,0.175,0.066,0.454,0.108,0.352,0.027,0.286,0.2,0.139,0.178,0.187,0.907,0.244,0.516
0.109,0.075,0.114,0.524,0.045,0.47,0.677,0.171,0.298,0.373,0.696,0.058,0.932,1.052,0.687
0.068,0.097,0.212,0.078,0.518,0.701,0.047,0.05,0.611,0.347,0.121,0.241,0.208,0.727,0.025
0.045,0.355,0.154,0.099,0.201,0.011,0.053,0.037,0.627,0.455,0.176,0.285,0.095,0.256,0.655
0.693,0.538,0.206,0.477,0.36,0.156,0.28,0.045,0.432,0.513,0.137,0.653,0.444,0.394,0.439
0.254,0.316,0.218,0.091,0.168,0.511,0.548,0.193,0.634,0.386,0.367,0.089,0.284,0.403,0.358
0.622,0.516,0.39,0.136,0.837,0.465,0.2,0.492,0.458,0.653,0.625,0.407,0.209,0.117,0.061
0.367,0.21,0.119,0.364,0.188,0.422,0.116,0.372,0.047,0.476,0.754,0.117,0.721,0.09,0.485
0.388,0.008,0.618,0.266,0.128,0.175,0.695,0.342,0.5,0.296,0.753,0.482,0.325,0.239,0.086
0.247,0.479,0.248,0.267,0.197,0.067,0.181,0.507,0.015,0.356,0.072,0.24,0.333,0.403,0.646
0.021,0.88,0.491,0.747,0.043,0.154,0.278,0.129,1.068,0.091,0.706,0.574,0.197,0.688,0.023
0.316,0.453,0.155,0.154,0.529,0.057,0.605,0.324,0.276,1.01,0.196,0.468,0.286,0.15,0.687
0.375,0.021,0.579,0.723,0.127,0.238,0.722,0.124,0.162,0.384,0.388,0.109,0.636,0.325,0.054
0.427,0.656,0.166,0.212,0.239,0.026,0.218,1.019,0.116,0.19,0.259,0.75,0.243,0.195,0.056
0.133,0.399,0.089,0.501,0.566,0.129,0.327,0.236,0.582,0.114,0.663,0.161,0.132,0.001,0.037
0.422,0.651,0.117,0.038,0.223,0.067,0.273,0.353,0.195,0.139,0.006,0.325,0.016,0.248,0.403
0.534,0.545,0.467,0.273,0.607,0.07,0.099,0.707,0.374,0.463,0.933,0.096,0.246,0.649,0.362
0.342,0.227,0.056,0.14,0.158,0.457,0.055,0.333,0.293,0.298,0.156,0.946,0.263,0.091,0.518
0.098,0.596,0.063,0.385,0.353,0.255,0.298,0.307,0.255,0.149,0.074,0.568,0.229,0.264,0.107
0.113,0.139,0.183,0.094,0.314,0.174,1.464,0.427,0.347,0.368,0.199,0.283,0.436,0.297,0.342
0.133,0.009,0.059,0.3,0.25,0.353,0.593,0.712,0.624,0.41,0.826,0.682,0.633,0.063,0.054
0.134,0.246,0.489,0.405,0.255,0.0,0.094,0.29,0.071,0.367,0.458,0.167,0.238,0.451,0.342
0.543,0.62,0.064,0.497,0.385,0.008,0.422,0.523,0.446,0.479,0.237,0.332,0.129,0.557,0.57
0.257,0.212,0.611,0.053,0.278,0.165,0.028,0.431,0.446,0.081,0.055,0.777,0.567,0.784,0.535
0.804,0.36,0.172,0.294,0.034,0.355,0.135,0.45,0.046,0.372,0.686,0.16,0.125,0.48,0.494
0.112,0.216,0.356,0.002,0.113,0.637,0.133,0.318,0.565,0.078,0.715,0.881,0.654,0.636,0.147
0.496,0.187,0.532,0.352,0.61,0.381,0.474,0.355,0.323,0.149,1.478,0.502,0.241,0.219,0.541
0.046,1.097,0.074,0.263,0.206,0.659,0.174,0.559,0.866,0.122,0.621,0.884,0.862,0.053,0.322
0.026,0.785,0.94,0.396,0.212,0.325,0.15,0.207,0.177,0.183,0.19,0.902,0.23,0.089,0.128
0.256,0.057,0.009,0.146,0.066,0.018,1.047,0.792,0.046,0.045,0.201,0.051,0.838,0.373,0.21
0.032,0.154,0.171,0.15,0.254,0.228,0.197,0.631,0.336,0.601,0.625,0.041,0.304,0.193,0.45
0.05,0.204,0.067,0.307,0.514,0.225,0.745,0.259,0.838,0.733,0.13,0.752,0.587,0.423,0.012
0.075,1.223,0.271,0.45,0.243,0.137,0.253,0.305,0.459,0.497,0.24,0.586,0.644,0.777,1.313
0.063,0.464,0.309,0.419,0.039,0.299,0.128,0.012,0.097,0.039,0.336,0.167,0.414,0.928,0.232
0.019,0.473,0.226,0.493,0.717,0.343,1.081,0.22,0.02,0.287,0.021,0.083,0.833,0.185,0.367
0.34,0.294,0.293,0.002,0.573,0.25,0.045,0.609,0.447,0.222,0.565,0.152,0.26,0.484,0.21
0.355,0.125,0.907,0.293,0.076,0.088,0.289,0.141,0.362,0.321,0.44,0.574,0.67,0.345,0.558
0.533,0.146,0.737,0.247,0.378,0.342,0.026,0.448,0.511,0.031,0.098,0.527,0.013,0.32,0.223
0.208,0.02,0.068,0.189,0.751,0.574,0.089,0.463,1.2,0.2,0.419,0.271,0.279,0.016,0.111
0.023,0.139,0.075,0.352,0.082,0.244,0.276,0.815,0.45,0.083,0.648,0.649,0.181,0.56,0.218
0.088,0.336,0.174,0.19,0.921,0.087,0.385,0.534,0.197,0.602,0.238,0.86,0.252,0.108,0.012
0.534,0.805,0.079,0.381,0.15,0.542,0.069,0.183,0.144,0.614,0.441,0.753,0.075,0.597,0.552
0.079,0.058,0.551,0.256,0.028,0.196,0.139,0.502,0.285,0.133,0.052,0.332,0.612,0.979,0.154
0.219,0.244,0.086,0.472,0.386,0.155,1.231,0.179,0.558,0.221,0.968,0.422,0.019,0.174,0.376
0.537,0.118,0.481,0.387,0.297,0.063,0.07,0.346,0.103,0.641,0.76,0.187,0.6,0.217,0.514
0.541,0.84,0.135,0.549,0.536,0.229,0.572,0.237,0.692,0.035,0.563,0.06,0.497,0.06,0.217
0.232,0.156,0.552,0.188,0.397,0.333,0.787,0.557,0.308,0.622,0.203,0.407,0.062,0.419,0.387
0.647,0.346,0.471,0.127,0.301,0.625,0.239,0.613,0.452,0.048,0.252,0.544,0.251,0.086,0.431
0.009,0.068,0.027,0.33,0.815,0.369,0.374,0.004,0.686,0.32,0.022,0.341,0.36,0.118,0.014
0.303,0.101,0.358,0.125,0.167,0.22,0.536,0.201,0.244,0.267,0.307,0.081,0.474,0.248,1.109
0.114,0.142,0.415,0.235,0.405,0.225,0.028,0.309,0.056,0.371,0.004,0.837,0.356,0.043,0.091
0.284,0.201,0.273,0.167,0.868,0.435,0.537,0.054,0.27,0.034,0.14,0.721,0.031,0.105,0.251
0.069,0.102,0.111,0.158,0.02,0.013,0.329,0.453,0.234,0.251,0.854,0.696,0.06,1.046,0.318
0.304,0.364,0.447,0.053,1.085,0.361,0.009,0.367,0.2,0.063,0.571,0.52,0.263,0.257,0.249
0.06,0.515,0.231,0.137,0.423,0.865,0.313,0.004,0.154,0.478,0.655,0.993,0.387,0.886,0.844
0.287,0.334,0.656,0.193,0.062,0.17,0.221,0.059,0.541,0.811,0.662,0.203,0.511,0.157,0.105
0.208,0.257,0.639,0.353,0.084,0.079,0.632,0.134,0.185,0.577,0.411,0.496,0.556,0.533,0.255
0.085,0.385,0.016,0.256,0.168,0.602,0.364,0.126,0.296,0.284,0.955,0.575,0.137,0.431,0.137
0.017,0.178,0.938,0.156,0.202,0.32,0.531,0.3,0.057,0.539,0.431,0.267,0.598,0.494,0.302
0.006,0.214,0.132,0.139,0.004,0.019,0.267,0.286,0.407,0.086,0.455,0.04,0.985,0.011,0.022
0.516,0.221,0.223,0.096,0.214,0.374,0.186,0.367,0.29,0.202,0.048,0.331,0.068,0.109,0.033
0.386,0.019,0.413,0.006,0.35,0.022,0.273,0.494,0.177,0.281,0.297,0.808,0.066,0.642,0.314
0.618,0.024,0.476,0.194,0.577,0.3,0.367,0.205,1.012,0.17,0.741,0.118,0.009,0.647,0.43
0.444,0.298,0.348,0.053,0.029,0.264,0.417,0.389,0.528,0.369,0.224,0.362,0.363,0.895,0.768
0.016,0.481,0.122,0.161,0.2,0.55,0.529,0.337,0.056,0.558,0.131,0.146,0.218,0.077,0.498
0.236,0.216,0.421,0.413,0.33,0.04,0.683,0.077,0.488,0.585,0.018,0.478,0.205,0.202,0.027
0.078,0.387,0.06,0.045,0.239,0.401,0.091,0.248,0.471,0.764,0.623,0.328,0.263,0.306,0.525
0.495,0.002,0.139,0.345,0.243,0.4,0.22,0.001,0.473,0.039,0.069,0.04,0.379,0.149,0.151
0.098,0.182,0.166,0.506,0.288,0.001,0.232,0.38,0.451,0.089,0.274,0.376,0.452,0.602,0.489
0.229,0.7,0.406,0.209,0.426,0.454,0.856,0.027,0.541,0.45,0.263,0.414,0.819,0.167,0.672
0.186,0.173,0.17,0.036,0.204,0.326,0.018,0.336,0.003,0.303,0.02,0.135,0.02,0.297,0.424
0.047,0.017,0.628,0.291,0.338,0.533,0.007,0.033,0.401,0.302,0.724,0.361,0.855,0.981,1.045
0.162,0.208,0.204,0.185,0.009,0.701,0.483,0.013,0.246,0.102,0.142,0.254,0.551,0.002,0.694
0.094,0.097,0.897,0.936,0.408,1.092,0.011,0.071,0.189,0.258,0.399,0.61,0.636,1.066,0.237
0.214,0.213,0.238,0.489,0.192,0.332,0.136,0.023,0.774,0.292,0.329,0.451,0.194,0.422,0.146
0.025,0.08,0.054,0.438,0.548,0.142,0.098,0.398,0.024,0.459,0.261,0.016,0.229,0.112,0.827
0.283,0.161,0.582,0.129,0.458,0.011,0.321,0.031,0.761,0.009,0.155,0.012,0.138,0.25,0.63
0.08,0.053,0.338,0.039,0.941,0.117,0.14,0.167,0.27,0.038,0.98,0.181,0.347,0.931,0.216
0.116,0.073,0.079,0.255,0.031,0.45,0.068,0.285,0.61,0.439,0.063,0.153,0.225,0.074,0.019
0.418,0.162,0.046,0.413,0.824,0.48,0.32,0.422,0.617,0.35,0.043,0.02,0.299,0.359,0.954
0.483,0.37,0.146,0.225,0.187,0.047,0.492,0.531,0.898,0.133,0.266,0.218,0.056,0.367,0.196
0.215,0.054,0.829,0.051,0.454,0.114,0.508,0.344,0.215,0.024,0.05,0.303,0.116,0.165,0.034
0.263,0.11,0.72,0.303,0.276,0.329,0.449,0.184,0.067,0.013,0.256,0.704,0.782,0.019,0.932
0.477,0.068,0.116,0.293,0.512,0.326,0.124,0.137,0.356,0.296,0.451,0.312,0.29,0.129,0.547
0.237,0.559,0.088,0.003,0.097,0.411,1.268,0.073,0.616,0.059,0.342,0.351,0.978,0.3,0.621
0.223,0.263,0.369,0.195,0.039,0.605,0.431,0.275,0.049,0.379,0.342,0.628,0.201,0.026,0.75
